#Surf	 Chan	 LabChip 	 ADCToVolt [mV/ADC-tick]
8	5	3	2.79032
8	1	0	2.01175
8	1	1	1.90086
8	1	2	2.01088
8	1	3	1.80611
3	7	0	2.72455
3	7	1	2.64186
3	7	2	2.54724
3	7	3	2.63913
3	3	0	1.94447
3	3	1	1.87059
3	3	2	1.80342
3	3	3	1.87584
9	1	0	2.16443
9	1	1	2.06096
9	1	2	2.07993
9	1	3	2.01716
0	2	0	2.29352
0	2	1	2.34746
0	2	2	2.28031
0	2	3	2.19135
7	4	0	2.81737
7	4	1	2.65497
7	4	2	2.66114
7	4	3	2.57004
7	0	0	2.25071
7	0	1	2.21874
7	0	2	2.18627
7	0	3	2.15216
1	6	0	1.81384
1	6	1	1.74397
1	6	2	1.74434
1	6	3	1.7016
1	2	0	1.92527
1	2	1	1.92201
1	2	2	1.91291
1	2	3	1.91791
6	4	0	2.12869
6	4	1	1.91358
6	4	2	1.92607
6	4	3	1.79538
6	0	0	1.769
6	0	1	1.60966
6	0	2	1.63701
6	0	3	1.56057
1	4	0	1.8276
1	4	1	1.76474
1	4	2	1.78743
1	4	3	1.77831
7	6	0	1.7265
7	6	1	1.62971
7	6	2	1.63474
7	6	3	1.56686
7	2	0	2.06983
7	2	1	1.96925
7	2	2	1.97064
7	2	3	1.96277
0	4	0	1.87092
0	4	1	1.93276
0	4	2	1.87916
0	4	3	1.8382
0	0	0	1.83225
0	0	1	1.89272
0	0	2	1.80776
0	0	3	1.77839
6	6	0	3.53299
6	6	1	3.10586
6	6	2	3.20628
6	6	3	2.93319
6	2	0	2.97043
6	2	1	2.6049
6	2	2	2.66442
6	2	3	2.47709
0	7	0	2.65377
0	7	1	2.67991
0	7	2	2.6199
0	7	3	2.52921
0	3	0	2.58988
0	3	1	2.65786
0	3	2	2.60825
0	3	3	2.51058
7	5	0	3.13436
7	5	1	2.95149
7	5	2	2.92028
7	5	3	2.91732
7	1	0	2.51633
7	1	1	2.4362
7	1	2	2.41155
7	1	3	2.37814
1	7	0	2.82496
1	7	1	2.69876
1	7	2	2.76101
1	7	3	2.64885
1	3	0	2.46575
1	3	1	2.42044
1	3	2	2.33427
1	3	3	2.35049
6	5	0	3.05556
6	5	1	2.72854
6	5	2	2.8035
6	5	3	2.54073
6	1	0	2.6273
6	1	1	2.40614
6	1	2	2.43917
6	1	3	2.29659
1	5	0	2.93317
1	5	1	2.82133
1	5	2	2.82049
1	5	3	2.82558
1	1	0	2.1659
1	1	1	2.11024
1	1	2	2.11313
1	1	3	2.12046
7	7	0	3.14147
7	7	1	2.9128
7	7	2	2.89226
7	7	3	2.76543
7	3	0	2.76538
7	3	1	2.63045
7	3	2	2.65329
7	3	3	2.55526
0	1	0	2.70947
0	1	1	2.76453
0	1	2	2.69126
0	1	3	2.59673
6	7	0	2.93885
6	7	1	2.60578
6	7	2	2.6847
6	7	3	2.49618
0	6	0	2.78645
0	6	1	2.77262
0	6	2	2.68497
0	6	3	2.54509
