01BH 3 11
01BV 3 5
01MH 2 11
01MV 2 5
01TH 0 11
01TV 0 5
02BH 3 18
02BV 3 12
02MH 1 18
02MV 1 12
02TH 0 18
02TV 0 12
03BH 3 19
03BV 3 13
03MH 2 18
03MV 2 12
03TH 1 19
03TV 1 13
04BH 2 19
04BV 2 13
04MH 1 20
04MV 1 14
04TH 0 19
04TV 0 13
05BH 3 20
05BV 3 14
05MH 2 20
05MV 2 14
05TH 0 20
05TV 0 14
06BH 3 21
06BV 3 15
06MH 2 21
06MV 2 15
06TH 1 21
06TV 1 15
07BH 2 22
07BV 2 16
07MH 1 22
07MV 1 16
07TH 0 21
07TV 0 15
08BH 3 22
08BV 3 16
08MH 1 23
08MV 1 17
08TH 0 22
08TV 0 16
09BH 3 23
09BV 3 17
09MH 2 23
09MV 2 17
09TH 0 23
09TV 0 17
10BH 3 6
10BV 3 0
10MH 1 6
10MV 1 0
10TH 0 6
10TV 0 0
11BH 3 7
11BV 3 1
11MH 2 6
11MV 2 0
11TH 1 7
11TV 1 1
12BH 2 7
12BV 2 1
12MH 1 8
12MV 1 2
12TH 0 7
12TV 0 1
13BH 3 8
13BV 3 2
13MH 1 9
13MV 1 3
13TH 0 8
13TV 0 2
14BH 3 9
14BV 3 3
14MH 2 8
14MV 2 2
14TH 1 10
14TV 1 4
15BH 3 10
15BV 3 4
15MH 2 9
15MV 2 3
15TH 0 9
15TV 0 3
16BH 2 10
16BV 2 4
16MH 1 11
16MV 1 5
16TH 0 10
16TV 0 4

